date,number_documents
2023-01-01,109
2023-01-02,100
2023-01-03,119
2023-01-04,140
2023-01-05,108
2023-01-06,111
2023-01-07,151
2023-01-08,138
2023-01-09,116
2023-01-10,139
2023-01-11,122
2023-01-12,124
2023-01-13,141
2023-01-14,100
2023-01-15,106
2023-01-16,132
2023-01-17,125
2023-01-18,153
2023-01-19,130
2023-01-20,122
2023-01-21,180
2023-01-22,148
2023-01-23,154
2023-01-24,125
2023-01-25,143
2023-01-26,157
2023-01-27,132
2023-01-28,162
2023-01-29,142
2023-01-30,148
2023-01-31,141
2023-02-01,189
2023-02-02,151
2023-02-03,129
2023-02-04,165
2023-02-05,122
2023-02-06,149
2023-02-07,104
2023-02-08,115
2023-02-09,143
2023-02-10,152
2023-02-11,138
2023-02-12,130
2023-02-13,123
2023-02-14,97
2023-02-15,109
2023-02-16,112
2023-02-17,139
2023-02-18,122
2023-02-19,77
2023-02-20,116
2023-02-21,99
2023-02-22,90
2023-02-23,113
2023-02-24,118
2023-02-25,114
2023-02-26,75
2023-02-27,83
2023-02-28,93
2023-03-01,104
2023-03-02,72
2023-03-03,76
2023-03-04,55
2023-03-05,52
2023-03-06,90
2023-03-07,99
2023-03-08,69
2023-03-09,89
2023-03-10,75
2023-03-11,54
2023-03-12,73
2023-03-13,96
2023-03-14,64
2023-03-15,96
2023-03-16,12
2023-03-17,81
2023-03-18,67
2023-03-19,59
2023-03-20,68
2023-03-21,27
2023-03-22,64
2023-03-23,76
2023-03-24,100
2023-03-25,62
2023-03-26,58
2023-03-27,66
2023-03-28,97
2023-03-29,87
2023-03-30,72
2023-03-31,96
2023-04-01,90
2023-04-02,111
2023-04-03,80
2023-04-04,91
2023-04-05,92
2023-04-06,74
2023-04-07,112
2023-04-08,115
2023-04-09,113
2023-04-10,112
2023-04-11,92
2023-04-12,115
2023-04-13,120
2023-04-14,114
2023-04-15,130
2023-04-16,144
2023-04-17,177
2023-04-18,146
2023-04-19,151
2023-04-20,147
2023-04-21,113
2023-04-22,153
2023-04-23,158
2023-04-24,208
2023-04-25,157
2023-04-26,169
2023-04-27,164
2023-04-28,144
2023-04-29,191
2023-04-30,185
2023-05-01,187
2023-05-02,154
2023-05-03,201
2023-05-04,146
2023-05-05,186
2023-05-06,218
2023-05-07,155
2023-05-08,163
2023-05-09,176
2023-05-10,164
2023-05-11,142
2023-05-12,173
2023-05-13,150
2023-05-14,179
2023-05-15,150
2023-05-16,198
2023-05-17,149
2023-05-18,157
2023-05-19,177
2023-05-20,134
2023-05-21,161
2023-05-22,180
2023-05-23,119
2023-05-24,153
2023-05-25,152
2023-05-26,159
2023-05-27,116
2023-05-28,111
2023-05-29,145
2023-05-30,138
2023-05-31,134
2023-06-01,133
2023-06-02,110
2023-06-03,125
2023-06-04,123
2023-06-05,100
2023-06-06,149
2023-06-07,119
2023-06-08,83
2023-06-09,117
2023-06-10,82
2023-06-11,115
2023-06-12,121
2023-06-13,79
2023-06-14,113
2023-06-15,100
2023-06-16,107
2023-06-17,127
2023-06-18,83
2023-06-19,72
2023-06-20,68
2023-06-21,69
2023-06-22,83
2023-06-23,91
2023-06-24,90
2023-06-25,101
2023-06-26,85
2023-06-27,114
2023-06-28,81
2023-06-29,141
2023-06-30,101
2023-07-01,72
2023-07-02,70
2023-07-03,102
2023-07-04,90
2023-07-05,111
2023-07-06,108
2023-07-07,99
2023-07-08,86
2023-07-09,76
2023-07-10,100
2023-07-11,129
2023-07-12,119
2023-07-13,92
2023-07-14,124
2023-07-15,131
2023-07-16,109
2023-07-17,133
2023-07-18,135
2023-07-19,114
2023-07-20,147
2023-07-21,155
2023-07-22,168
2023-07-23,171
2023-07-24,126
2023-07-25,138
2023-07-26,170
2023-07-27,173
2023-07-28,176
2023-07-29,246
2023-07-30,183
2023-07-31,197
2023-08-01,196
2023-08-02,192
